Id,Thesis,StudyProgram,KBK
84,Penerapan metode collaborative filtering untuk sistem rekomendasi pada aplikasi medisains / Cevin Ways Al Cornelis,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
85,Perancangan dan implementasi sistem penerjemah bahasa isyarat pada penyandang tuna rungu menggunakan sensor kamera kinect 2.0 dengan metode Convolutional Neural Network (CNN) / Sholikhatul Amaliya,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
86,Sistem rekomendasi kursus dan workshop multimedia menggunakan algoritma collaborative filtering item based / Rifqi Yusrinaldi,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
87,Penambahan metode empiris pada algoritma Damerau Levenshtein Distance untuk peningkatan akurasi koreksi ejaan bahasa Indonesia / Pundhi Yuliawati,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
88,Prediksi nilai tukar mata uang kripto terhadap rupiah menggunakan multilayer perceptron / Galih Hadi Wibowo,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
89,Analisis hasil peramalan harga komoditas daging ayam dan telur ayam Indonesia menggunakan metode autoregressive integrated moving average (ARIMA) dan seasonal autoregressive integrated moving average (SARIMA) / Meynabel Dimas Wisodewo,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
90,Distribusi kamus berdasarkan jumlah karakter untuk peningkatan kinerja koreksi ejaan bahasa Indonesia menggunakan algoritma damerau levenshtein distance / Raditha Ulfah,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
91,Analisis metode smoothing pada LSTM utuk peramalan pengunjung e-jurnal berbasis neural network / Riska Rosidatul Ula,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
92,Klasifikasi jenjang pendidikan pada cerita rakyat indonesia menggunakan algoritma k-nearest neighbor / Sabri Sangjaya,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
93,Penghapusan baris dan kolom pertama algoritma damerau levenshtein distance untuk peningkatan kinerja koreksi ejaan bahasa Indonesia / Ridhwan Shalahuddin,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
94,Klasifikasi jenjang pendidikan pada cerita rakyat indonesia menggunakan algoritma k-nearest neighbor / Sabri Sangjaya,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
95,Perbandingan algoritma levenshtein distance dan damerau levenshtein distance untuk koreksi ejaan Bahasa Indonesia / Puji Santoso,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
96,Prediksi keputusan pembelian saham per hari dengan metode jaringan saraf tiruan (studi kasus PT. Indofood CBP Sukses Mandiri Tbk.) / Deo Pradipta Putra Setyadi,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
97,Studi empirik kinerja algoritma klasifikasi dengan teknik resampling / Niendhitta Tamia Lassela,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
98,Sistem rekomendasi pembelian pemain menggunakan algoritma content based filtering pada master league game pro evolution soccer 2020 / Dhimas Febri Subhiriyantoni,S1 Teknik Informatika,Game dan Teknologi Digital Cerdas
99,Evaluasi kinerja metode SVM sebagai pengklasifikasi jurnal internasional / Sandika Maulana Putra,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
100,Rekomendasi pemilihan tutor terbaik menggunakan algoritma squeezer / A. Eko Prastiyo,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
101,Pengelompokan tingkat kematangan buah kakao berdasarkan fitur warna L*a*b* dengan K-Means clustering / Zaka Kharis Mursydan,S1 Teknik Informatika,Rekayasa Pengetahuan dan Ilmu Data
